序号,问题现象,问题描述,结论,解决办法,原始网站,备注
10,在校园网络、企业局域网等场景中，存在多种用户接入认证方式，包括PPPoE、Web+Portal、802.1X。这些认证方式在实际应用中各有优缺点，导致在选择和部署过程中出现困惑和挑战。,1.PPPoE-背景与目的：PPPoE技术是在以太网上实现PPP协议的主要功能，旨在通过数字用户线、电缆调制解调器或无线连接等方式提供多用户的宽带接入服务。-建立过程：分为搜寻阶段（Discoverystage）和点对点对话阶段（PPPSessionstage）。-优点：-传统PSTN窄带拨号接入技术的延伸。-与原有窄带网络用户接入认证体系一致。-用户相对容易接受。-缺点：-封装效率低。-发现阶段产生大量广播流量，影响网络性能。-组播业务开展困难。-需要运营商提供客户端软件，维护工作量大。-认证需要外置BAS设备，容易造成单点瓶颈和故障，且设备昂贵。2.Web+Portal-背景与目的：Portal认证是在用户获取IP地址后，通过特定的Portal服务器进行认证，以控制用户访问互联网的权限。-建立过程：用户通过DHCP获取IP地址，但只能访问Portal服务器，输入用户名和密码后，通过Portal协议与NAS及RADIUS服务器交互完成认证。-优点：-不需要特殊的客户端软件，降低网络维护工作量。-可以提供Portal等业务认证。-缺点：-设备要求高，建网成本高。-用户连接性差，不易检测用户离线，基于时间的计费较难实现。-易用性不够好，用户必须使用浏览器进行Web认证。-IP地址分配在认证前，容易造成地址浪费，不便于多ISP支持。-认证前后业务流和数据流无法区分。3.802.1X-背景与目的：802.1X协议是一个二层协议，用于在接入层交换机上实现用户端口的认证控制，提高网络的安全性和管理效率。-建立过程：用户通过客户端软件发起认证请求，接入设备将请求转发给认证服务器，完成认证后，用户端口被打开。-优点：-二层协议，性能要求不高，建网成本低。-通过组播实现，支持组播业务。-业务流和认证流分离，后续数据包处理无特殊要求。-安全可靠，无需多业务网管设备。-消除网络认证计费瓶颈的单点故障。-缺点：-需要特定客户端软件。-现有楼道交换机可能不支持认证报文透传或完成认证过程，需要升级。-认证后仍需解决IP地址分配和三层网络安全问题。-无法基于流量进行计费。,三种认证方式各有优缺点，具体选择取决于网络环境和需求：PPPoE适合需要与传统窄带网络认证体系保持一致的场景，但存在封装效率低、网络性能影响大等缺点。Web+Portal适合不需要特殊客户端软件、注重广告和内容推送的场景，但设备要求高、易用性差、IP地址浪费等缺点明显。802.1X适合需要高安全性和管理效率的场景，如校园网络，但需要特定客户端软件和交换机支持，且无法基于流量计费。,1.PPPoE：-优化封装效率，减少广播流量。-选择性能更高的BAS设备，提高认证效率和稳定性。-逐步推广客户端软件，减少维护工作量。2.Web+Portal：-选择支持高层数VLAN和高性能的接入设备，降低建网成本。-优化用户连接性检测机制，提高计费准确性。-提供多种认证入口，增强易用性。3.802.1X：-逐步升级现有交换机，支持认证报文透传或完成认证过程。-结合其他技术（如DHCP、VLAN）解决IP地址分配和三层网络安全问题。-引入流量计费机制，满足不同用户的计费需求。通过以上分析和建议，可以根据具体网络环境和需求选择合适的认证方式，并采取相应的解决办法，以提高网络的性能、安全性和管理效率。,https://zhiliao.h3c.com/Theme/details/19098,
11,使用Wireshark工具时，发现默认的报文显示列和时间显示格式可能不满足特定的分析需求，需要对报文进行更灵活的排序和时间调整。,1.增加列：默认的报文显示列包括序号、时间、源地址、目的地址、协议类型、字节长度和信息（info），但可能需要显示其他字段以进行更详细的分析。2.时间显示格式：默认的时间显示格式可能不够直观，需要调整为更适合当前分析的时间格式。3.设置参考时间：在某些情况下，需要将某个报文的时间设置为参考时间，以便更好地理解报文之间的时序关系。4.标记报文：需要对特别关注的报文进行标记，以便在大量报文中快速识别。,通过灵活调整Wireshark的报文显示列、时间显示格式、设置参考时间和标记报文，可以更高效地进行网络问题的分析和调试。,1.增加列：-选择一个感兴趣的字段，右键点击该字段。-在弹出的菜单中选择“应用为列”（ApplyasColumn）。-该字段将被添加到报文显示列中，可以按该列进行排序（升序或降序）。2.时间显示格式：-在Wireshark的菜单栏中，选择“视图”（View）。-选择“时间显示格式”（TimeDisplayFormat）。-从下拉菜单中选择适合的时间格式，例如“自动”（Auto）或“自捕获开始经过的时间”（ElapsedTimeSinceCaptureStarted）。3.设置参考时间：-在报文列表中，找到需要设置为参考时间的报文。-右键点击该报文，选择“设置为参考时间”（SetasReferenceTime）。-该报文的时间将被设置为参考原点，后续报文的时间将显示为相对于该报文的时间。4.标记报文：-在报文列表中，找到特别关注的报文。-右键点击该报文，选择“标记”（Mark）。-标记后的报文将显示为黑色，便于在大量报文中快速识别。通过以上方法，可以更有效地利用Wireshark进行网络抓包和分析，提高问题排查的效率。,https://zhiliao.h3c.com/Theme/details/102599,
12,1.手机搜索到AP信号弱：护士使用MotoMe525+手机在病房走廊中搜索到的AP信号较弱。2.终端异常断线：从护士站移动到病房时，手机连接的WLAN网络出现断线，一段时间后自动连接或需要手动重新连接。,某医院使用AC（WX5004）和AP（WX2620-AGN）构建了WLAN网络，AP通过天线（ANT-2503C-M3）释放信号，天线部署在病房走廊，覆盖四个病房。医院基于此WLAN网络定制了医生查房系统和护士查房系统。医生查房使用笔记本电脑（无线网卡灵敏度较好），测试效果良好；而护士使用MotoMe525+手机（系统为安卓2.0.3）进行查房时，遇到信号弱和网络断线的问题。,1.终端收到AP信号弱：-自动功率调整：AC开启了AP的自动功率调整功能，导致部分AP的发射功率偏低。-内置天线问题：AP未切换使用外置天线，而是使用内置天线发送信号，导致终端接收信号较弱。2.终端异常断线：-终端漫游灵敏度低：MotoMe525+手机的漫游灵敏度较低，当手机位置移动但未及时漫游时，手机会认为自己已经下线，并等待12秒后重新发起认证和连接。-对比测试：使用小米1.0和iPhone4进行测试，未发现该问题，进一步确认为终端问题。,1.AP固定发射功率：关闭AC的自动功率调整功能，将AP的发射功率固定在一个较高的值。2.AP切换使用外置天线：将AP的天线从内置切换到外置，以提高信号覆盖范围和强度。3.重新规划无线信道：优化AP的无线信道配置，减少信道间的干扰。4.开启二层隔离：在WLAN网络中开启二层隔离功能，防止不同终端之间的干扰。5.关闭低速率优化：关闭WLAN网络的低速率优化功能，以提高数据传输的稳定性和速度。6.频段规划：将医生查房系统规划在5G频段，护士查房系统规划在2.4G频段，减少两个系统之间的相互干扰。通过上述优化措施，无线查房系统已恢复正常运行。,https://zhiliao.h3c.com/Theme/details/1289,
13,在某局点部署WX3520HPortal认证时，用户尝试连接时提示向Portal服务器发送请求超时，并且用户无法成功上线。,1.设备配置检查：现场工程师首先检查了AC（接入控制器）和认证服务器IMC（IntelligentManagementCenter）关于Portal认证的相关配置和参数，确认配置均正确。2.日志分析：采集IMC侧UAM（UserAccessManagement）和Portal日志，发现认证服务器成功处理了REQINFO报文，但未收到设备回应的ACKINFO报文。3.设备侧调试：在设备侧开启debugging调试信息，发现设备正常响应了ACK_INFO消息，这表明报文可能在中间链路被丢弃。4.ACG抓包分析：在ACG（ApplicationControlGateway）上进一步抓包分析，确认ACG正常传递了REQ和ACK报文，问题疑似出在天融信防火墙上。,问题的原因在于天融信防火墙上的策略配置，该策略将认证网段进行了NAT（网络地址转换），导致认证服务器无法正确接收到设备的ACK_INFO报文，从而引发认证超时和用户下线的问题。,1.排查防火墙策略：现场工程师排查天融信防火墙的策略配置。2.修改NAT策略：发现并修改了将认证网段进行NAT转换的策略。3.验证效果：修改策略后，重新测试Portal认证，确认问题已解决，用户可以正常上线。通过以上步骤，问题得到了有效解决。,https://zhiliao.h3c.com/Theme/details/67940,
14,某局点使用LSUM1WCMX40RT无线插卡进行组网，两块无线插卡通过IRF（IntelligentResilientFramework）堆叠连接。虽然AP能正常上线，但终端设备无法与多个AP组下的AP进行关联。,在进行故障排查时，收集了故障终端的MAC地址和测试的AP名称，并在一个正常工作的AP下进行了连接全过程的debug记录。通过开启以下调试命令：`debuggingwlanclientall``debuggingport-securityall``debugwlanaccess-securityall`发现debug日志中出现了异常信息，具体如下：`STAMGR/7/Event:BSSdoesnotsupportbsstransition-management``STAMGR/7/Event:BTMisnotenabled``STAMGR/7/Event:BTMisnotenabled`,经产品线确认，该故障属于版本使用限制。当无线插卡开启WLAN快速转发的硬件转发功能后，组建IRF时需要注意IRF物理端口和业务口的配置。具体来说，每块插卡上的XGEn/0/1口和XGEn/0/3口作为一组，XGEn/0/2口和XGEn/0/4口作为另一组（n是IRF中的成员编号），其中一组必须配置为业务口，另一组必须配置为IRF物理端口。如果配置不当，会导致终端无法关联AP。,1.确认版本限制：在处理业务不明异常时，需确认当前使用的版本是否存在使用限制。2.正确配置IRF端口：根据产品线的建议，正确配置IRF物理端口和业务口。例如，当XGEn/0/1和XGEn/0/3作为IRF物理端口时，XGEn/0/2和XGEn/0/4应配置为业务口。3.关闭硬件转发：如果暂时无法正确配置IRF端口，可以通过关闭硬件转发功能来规避问题。具体命令为：-`wlanfast-forwardingmodesoftware`通过上述步骤，终端设备成功关联到AP，业务恢复正常。日期2021-02-26反馈若您有关于案例的建议，请反馈：建议反馈,https://zhiliao.h3c.com/Theme/details/144388,
15,客户现场有10台同型号、同系列的WA4320-ACN-SI-FITap设备，其中4台可以正常注册上线，而另外6台无法注册。,1.设备注册情况：6台AP无法注册到盒子，而4台可以正常注册。2.物理线路排查：指导客户进行AP之间的交叉替换，排除物理线路问题，但问题依旧存在。3.DHCP获取地址：通过`displaydhcpserverip-in-use`命令发现无法注册的AP无法获取IP地址。4.手工配置测试：手工配置无法注册的AP后，可以成功上线。5.Boot模式测试：在Boot模式下，无法注册的AP可以获取地址并下载版本，但进入FITap模式后仍无法获取地址。6.抓包分析：-在Boot模式下，AP的DHCP请求可以得到单播回应。-在FITap模式下，AP的DHCP请求无法得到广播回应。7.对比抓包：同一交换机下，可以正常注册的AP在FITap模式下的DHCP请求可以正常交互（广播），且抓包显示的请求报文与无法注册的AP没有差别。,问题的根本原因在于现场使用的第三方DHCP服务器对FITap模式下的广播请求处理存在问题，导致6台AP无法获取IP地址并注册到盒子。,1.配置上联交换机的DHCP服务器：指导客户在上联交换机上配置DHCP服务器，进行IP地址分配。2.测试结果：配置后，所有无法注册的AP均可以正常获取IP地址并注册到盒子。3.确认问题：客户确认是第三方DHCP服务器的问题，并采取了相应的措施解决。修订日期2019-06-11,https://zhiliao.h3c.com/Theme/details/41259,
16,：某局点采用无线X分部署方案后，用户反馈部分房间的WLAN信号不稳定，客户端接入后容易掉线，使用NetworkStumbler扫描时，发现SSID信号强度忽强忽弱。,：1.用户在部署无线X分应用时，仅使用了AP的三个射频接口（ANT-4、ANT-5、ANT-6）来覆盖走廊一侧的三个房间，没有按照规范使用。2.经过替换终端对比测试、更换馈线和天线等排查措施后，问题依然存在，且故障似乎随着射频接口的位置而变化。,：该问题的根本原因在于天线的部署方式不符合无线X分解决方案的规范，特别是在只使用三个房间的情况下，正确的方式应该是使用ANT-2、ANT-4、ANT-6这三个射频接口。不正确的天线配置导致了AP无法有效选择正确的射频接口传送信号，从而引起了信号强度的不稳定。,：1.调整天线配置：根据无线X分应用的规范，调整天线的部署方式，使用ANT-2、ANT-4、ANT-6三个射频接口来覆盖三个房间。2.检查连接：确保AP、馈线、天线的连接可靠，未使用的射频接口应使用射频匹配负载堵上。3.优化馈线长度：在普通场景下，馈线长度尽量不要超过5米，或选用低衰耗馈线，以减少信号衰减。4.关闭静谧模式：在定位信号故障时，先关闭AP的静谧工作模式，确保所有房间都能接收到足够的信号强度。静谧模式关闭命令为：`wlanoptionx-sharequietdisable`。通过上述措施，可以有效解决无线X分部署中信号不稳定的问题，确保无线网络的正常运行。,https://zhiliao.h3c.com/Theme/details/2552,
17,：在某局点的无线网络中，无线控制器V7启用PSK认证和远程MAC认证后，当主备IMC服务器异常时，终端（尤其是IOS设备）无法成功连接无线网络，表现为连接后立即掉线。,：无线控制器（AC）的设计机制是先进行MAC认证，再进行PSK认证。当IMC服务器宕机后，AC每次进行MAC认证时会向服务器发起认证请求，默认尝试三次，每次超时时间为3秒。由于IOS终端的特殊机制，不会等待这么长的时间进行认证，导致终端在认证过程中无法正常连接，连接后也会立即掉线。,：问题的根本原因在于AC的默认认证超时时间（3秒）与IOS终端的认证等待时间不匹配，导致在服务器宕机的情况下，终端无法完成认证过程，从而无法成功连接无线网络。,：1.修改AC的默认认证机制，将设备侧的超时时间缩短，以适应IOS终端的特殊机制。2.在radius配置中，将响应超时时间从默认的3秒修改为1秒，具体配置命令为`response-timeout1`。这样可以减少认证请求的等待时间，提高认证成功率。,https://zhiliao.h3c.com/Theme/details/65867,
18,某局点无线Portal认证用户在服务器上强制下线后，无法再次上线。,1.组网及说明：现场使用第三方服务器进行Portal认证。2.主要过程分析：-设备收到了Web-auth的强制下线报文。-设备向服务器发送了ntf_logout(8)的下线报文。-Debug日志显示设备收到了REQINFO报文并回应了ACKINFO报文，但未收到服务器的REQ_AUTH报文，即没有再次收到认证请求报文。3.抓包分析：-故障局点：无线NAS设备IP为X.X.9.1，SMP服务器IP为Y.Y.10.82。下线时设备未向服务器发送Portal的下线报文。-正常局点：无线NAS设备IP为XX.XX.60.2，SMP服务器IP为YY.YY.10.82。下线时设备正常向服务器发送Portal的下线报文。4.不一致现象：设备向外发送了下线报文，但服务器并未收到。,问题的根本原因是设备上未配置bas-ip。客户在前期根据服务器侧的要求去掉了设备上的bas-ip，导致设备与服务器之间的通信不正常，服务器无法收到设备的下线报文，进而无法重新发起认证请求。,1.配置bas-ip：在设备上重新配置bas-ip。2.验证：配置bas-ip后，问题得到解决，用户能够再次上线并完成认证。总结问题现象：用户在服务器上强制下线后无法再次上线。问题描述：设备收到强制下线报文并尝试发送下线报文，但服务器未收到，导致无法重新发起认证请求。结论：设备未配置bas-ip导致通信异常。解决办法：重新配置bas-ip，问题解决。,https://zhiliao.h3c.com/Theme/details/220813,
19,在无线网络工程项目中，客户可能因为无线需求或组网规模的变更，需要对支持胖瘦一体化的AP进行组网模式和工作模式的调整。然而，对于没有console口的AP（如WAP722，WAP722E，面板式APWA2610H-GN等），无法通过传统的console口进行模式切换。,对于没有console口的AP，如WAP621FIT模式AP，需要通过telnet登录到设备，并导入相应的胖版本软件来实现从FIT模式到FAT模式的转换。在转换过程中，可能会遇到AP的flash空间不足的问题，导致版本文件无法上传，从而影响模式切换的顺利完成。,通过telnet登录到AP，并使用tftp或ftp服务器上传胖版本文件，可以实现无console口AP的胖瘦模式转换。关键步骤包括确保flash空间足够、上传胖版本文件、切换工作模式以及验证转换成功。,1.准备设备：确保有PC一台、dhcpserver一台以及待转换的WAP621FIT模式AP。2.组网环境配置：将AP的up-link口和PC的网口连接到路由器的LAN接口，配置路由器的dhcpserver为PC和AP分配IP地址，保证PC和AP路由可达。3.登录AP：在PC的cmd窗口中输入`telnet192.168.1.3`登录到AP。4.查看当前版本信息：输入`displayversion`查看AP当前的版本信息。5.检查flash空间：输入`dir`查看AP的flash空间，确保有足够的空间用于上传胖版本文件。6.释放flash空间：如果flash空间不足，使用`delete`命令删除瘦版本文件，并输入`resetrecycle-bin`命令释放flash空间。7.搭建tftp服务器：在PC上搭建tftp服务器，并将胖版本文件（如`wa2600a_fat.bin`）放置在tftp服务器指定的文件路径下。8.上传胖版本文件：在AP命令行中输入`tftp192.168.1.2getwa2600a_fat.bin`命令，从tftp服务器下载胖版本文件到AP的flash中。9.验证文件上传：输入`dir`命令，确认胖版本文件已成功上传到flash中。10.切换工作模式：输入`ap-modefat`命令将AP的工作模式切换为FAT模式。此时，PC和AP的telnet连接将会断开，AP进入自动重启阶段。11.验证转换成功：AP重启成功后，自动进入FAT模式，默认管理地址为192.168.0.50，默认管理账号和密码为admin/h3capadmin。使用网线将PC和AP的up-link口相连，并配置PC的IP地址为192.168.0.0/24网段中的任意地址（192.168.0.50除外），然后通过`telnet192.168.0.50`登录AP，使用`displayversion`和`dir`命令验证AP的主程序版本和主启动文件，确保转换成功。通过以上步骤，可以成功将无console口的FIT模式AP转换为FAT模式AP。,https://zhiliao.h3c.com/Theme/details/5243,
20,：某局点的WX5540X设备在升级过程中出现不断重启的情况，但console口可以正常进入bootware页面。,"：工程师在未确认设备最初版本信息的情况下，直接使用了R5461P01版本文件对WX5540XAC进行升级。升级指定版本文件后，设备开始不断重启。系统输出的错误信息如下：```Errorreadingdataonserialport:Accessisdenied.ACstopped,pleasewaitforaminutetoupdateBegintoupdatehostUpdatehostfailUpdatecomplete,systemwillrebootsysrebootnow[root@H3LINUX128~]#[OK]StoppedVirtualmachinelogmanager.[OK]StartedShowPlymouthRebootScreen.[OK]StoppedPermitUserSessions.[OK]StoppedKernelSamepageMerging.[OK]StoppedVirtualMachineandContainerRegistrationService.[OK]Stoppedwx5500x_miscservice.Stopping/etc/rc.d/rc.localCompatibility...[OK]StoppedtargetRemoteFileSystems.[OK]StoppedtargetRemoteFileSystems(Pre).[OK]StoppedtargetNFSclientservices.StoppingGSSAPIProxyDaemon...```",：该问题的原因是工程师在升级WX5540X设备时，未确认设备的最初版本信息，直接使用了不兼容的R5461P01版本文件进行升级。根据V9的WX5500X系列控制器升级限制，从WX5500X-CMW710-E5452P05之前的版本升级到WX5500X-CMW710-E5452P05及之后的版本，必须使用ISO镜像版本进行升级。,：参考官网文档，重新安装与当前设备版本兼容的ISO镜像版本。安装新版本的ISO镜像后，设备恢复正常运行。,https://zhiliao.h3c.com/Theme/details/219934,
21,某局点使用WAC380-60进行本地Portal认证，并结合LDAP服务器进行用户认证。配置完成后，Portal界面可以正常弹出，但用户无法通过认证。,在配置过程中，管理员发现Portal界面可以正常弹出，但用户认证失败。为了排除Portal配置问题，管理员建议客户取消与LDAP服务器的结合，直接使用本地用户进行测试，结果本地用户认证成功，进一步怀疑问题出在LDAP服务器的配置上。,通过debug信息分析，发现认证失败的原因是管理员账号查询失败，具体表现为管理员账号不具备足够的权限进行绑定操作。关键的debug信息显示，绑定操作返回了错误代码49，表示认证失败。,建议客户更换为具有管理员权限的账号进行测试。客户更换为administrator管理员账号后，认证成功，问题得以解决。,https://zhiliao.h3c.com/Theme/details/128089,
22,某局点使用WA5530无线接入点进行Portal认证后，终端在播放视频时出现卡顿现象。客户位于AP旁边，现场仅有1-2个终端，但在删除服务模板中的Portal配置后，视频播放恢复正常。,1.环境信息：-无线接入点型号：WA5530-认证方式：Portal认证-客户位置：紧邻AP-终端数量：1-2个2.测试与分析：-终端信号质量：-查看终端RSSI值：35dBm-查看终端RX/TX速率：650/650Mbps-空口利用率：-使用命令`displayar5drv1channelbusy`查看空口利用率，结果如下：-控制信道（CtlChannel:36）的空口利用率在大部分时间点均为0%，仅在13:53:00时出现1%的控制信道繁忙。-CPU利用率：-使用命令`displayprocesscpuslot1`查看AC的CPU利用率，结果如下：-5秒内的CPU利用率为12.8%，1分钟内的CPU利用率为4.1%，5分钟内的CPU利用率为4.3%。3.Portal用户信息：-使用命令`displayportaluserall`查看Portal认证用户的速率配置，结果如下：-总Portal用户数：3-每个用户的入方向和出方向的CIR（承诺信息速率）均为1048576bps，PIR（峰值信息速率）均为5242880bps。,终端播放视频卡顿的原因是由于IMC侧配置了Portal认证用户的限速，导致每个用户的带宽被限制在1Mbps，这不足以支持高清视频的流畅播放。删除服务模板中的Portal配置后，终端带宽限制被解除，视频播放恢复正常。,1.调整IMC侧限速配置：-在IMC侧调整Portal认证用户的限速配置，提高CIR和PIR值，以确保终端能够获得足够的带宽来支持视频播放。-例如，可以将CIR和PIR均设置为10Mbps或更高，具体数值根据实际需求和网络条件进行调整。2.验证调整效果：-调整限速配置后，重新进行视频播放测试，确保终端播放视频不再卡顿。-使用命令`displayportaluserall`再次查看Portal用户的速率配置，确认调整后的限速值已生效。3.监控网络性能：-持续监控网络性能，包括空口利用率和CPU利用率，确保调整后的配置不会对网络整体性能产生负面影响。-如果需要，可以进一步优化其他网络参数，以提高整体网络稳定性。通过上述方法，可以有效解决由于限速配置导致的终端视频播放卡顿问题。,https://zhiliao.h3c.com/Theme/details/218637,
23,某局点的AP无法注册到AC上。,1.网络拓扑：AC通过S5560交换机与AP连接。2.初步检查：-AC和AP的版本、license均正常。-AP能够通过DHCP正常获取IP地址。-AC和AP之间的连通性测试无问题。3.进一步调试：-在AC上打开debug调试开关后，未收到任何AP的注册调试信息。-在AP上打开debug调试开关后，发现AP发起了广播discover注册请求，但未收到AC的回应。,1.疑点分析：虽然AC和AP之间的链路无问题，但AC未收到AP的广播注册请求，说明广播注册请求报文在中间链路上被丢弃。2.验证办法：在S5560交换机上打开debug调试开关，发现交换机收到了AP的注册请求。3.问题定位：S5560交换机启用了无线功能，导致接收到的广播注册请求报文不再进行二层转发而是直接上送CPU处理。由于交换机上未配置AP的序列号，交换机的CPU不处理该注册请求，同时报文也不会再次进行二层转发，因此AP的广播注册请求无法送达AC。,1.单播注册：-AP采用Option43或指定WLANACIP的方式进行单播注册请求，不进行广播注册请求。单播报文的目的地址不是S5560，交换机收到后不会上送CPU处理，而是直接进行二层透传。2.卸载无线特征包：-交换机直接卸载无线特征包，不启用无线功能，从而正常放行AP的注册报文。发表日期2021-09-17修订日期2021-09-24反馈该案例对您是否有帮助：有用/无用若您有关于案例的建议，请反馈：建议反馈,https://zhiliao.h3c.com/Theme/details/171743,
24,苹果终端从AP4漫游到AP1后，无法访问外网，ping网关不通。断开重连后恢复正常。故障时，pingAP业务地址可达。,现场组网方式为AC旁挂核心，核心交换机下接接入交换机，接入交换机再接AP。设备型号为WX3520X，版本为Release1217。现场配置为本地转发，但即使改为集中转发，问题依然存在。安卓终端和PC均未出现类似问题。,通过分析发现，问题可能与交换机上的`ipverifysourceip-addressmac-address`命令有关。该命令用于检查源IP地址和MAC地址的匹配情况，但在终端漫游后，新的接口上没有动态学习到旧的MAC和IP地址匹配项。苹果终端在漫游后没有重新进行DHCP过程，导致新的接口无法学习到其MAC和IP地址，从而无法正常通信。安卓终端和PC在漫游后会重新进行DHCP过程，因此能够正常通信。,现场反馈，将交换机上的`ipverifysourceip-addressmac-address`命令去掉后，业务恢复正常。建议在类似环境中，如果需要无线终端漫游后保持IP地址不变，可以考虑去掉该命令，或配置交换机在漫游后重新学习终端的MAC和IP地址匹配项。,https://zhiliao.h3c.com/Theme/details/227014,
25,在某局点分层AC组网中，配置了portal+无感知认证，认证点在CentralAC，转发点在AP上。其中一个本地SSID（VLAN301）的无线portal认证正常，但下联分支上的SSID（VLAN401）的portal页面始终无法弹出。有线和无线测试弹出结果一致，均无法访问portal页面。,组网结构：分层AC组网，认证点在CentralAC，转发点在AP上。CentralAC配置为双机热备份。配置信息：-本地SSID（VLAN301）和分支SSID（VLAN401）使用同一domain和radius策略。-本地SSID配置如下：```plaintextwlanservice-template2ssidA-WiFivlan301clientforwardinglocationapclientsecurityauthenticationlocationcentral-acportalenablemethoddirectportaldomainimcportalbas-ip10.212.30.150portalapplyweb-serverimcportalapplymac-trigger-serverimcservice-templateenable```-分支SSID配置如下：```plaintextwlanservice-template3ssidA-WiFivlan401portalenablemethoddirectportaldomainimcportalbas-ip10.212.30.150portalapplyweb-serverimcportalapplymac-trigger-serverimcservice-templateenable```-认证服务器（IMC）配置如下：```plaintextportalweb-serverimcurlhttp://10.212.0.80:80/portalurl-parameterapmacap-macurl-parameterssidssidurl-parameteruseripsource-addressurl-parameterusermacvaluesource-mac```,初步排查：-认证服务器侧portal服务正常，总部和分支共用同一认证服务。-终端能够ping通认证服务器IP地址，链路无问题。-直接在浏览器中输入portalURL也无法访问，排除分层AC组网和无线转发问题。-有线侧接入AP上行接入交换机，同样无法访问portalURL。-终端与认证服务器之间有正常的HTTP报文交互，中间链路无策略限制。最终分析：-服务器响应报文回复给了另一个AC地址，导致页面无法显示。-现场在IMC上添加了主备CentralAC，但AC的配置中未添加portal重定向携带设备bas-ip配置，导致IMC无法判断请求报文的来源设备，从而无法正确响应。,在portalweb-server配置中添加重定向URL参数，携带设备bas-ip配置。具体配置如下：```plaintextportalweb-serverimcurl-parameternasipvaluex.x.x.x```其中，`x.x.x.x`应为服务模板下配置的bas-ip地址（10.212.30.150）。通过这一配置，IMC能够正确识别请求报文的来源设备，从而正确响应，使portal页面正常显示。,https://zhiliao.h3c.com/Theme/details/53642,
